"namespace","name","type","cardinality","tags","description","validation","","displayName","source","","calculationFunction","calculationFunctionParameters","defaultFromField","defaulting","defaultValue"
"json_mapping","swapstream1_initialstub_stubtype","EnumeratedString","One","","","lookup:StubType","","","","","","","","NONE",""
"json_mapping","swapstream1_is_oisleg","Boolean","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_isconstantrate","Boolean","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_isconstantspread","Boolean","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_lastnotionalstepdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_legtype","EnumeratedString","One","","","lookup:LegType","","","","","","","","NONE",""
"json_mapping","swapstream1_notionalcurrency","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_notionalstepamount","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_notionalstepfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_payer","String","One","","Leg payer","","","Leg 1 payer","","","","","","NONE",""
"json_mapping","swapstream1_paymentdates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_paymentdates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_paymentdates_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_paymentdates_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream1_paymentdates_daytype","EnumeratedString","One","","","lookup:DayType","","","","","","","","NONE",""
"json_mapping","swapstream1_paymentdates_offsettenor","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_paymentfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_payrelativeto","EnumeratedString","One","","","lookup:PayRelativeTo","","","","","","","","NONE",""
"json_mapping","swapstream1_resetdates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_resetdates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_resetdates_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_resetdates_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream1_resetfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_resetrelativeto","EnumeratedString","One","","","lookup:PayRelativeTo","","","","","","","","NONE",""
"json_mapping","swapstream1_residualterm","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_settlementcurrency","EnumeratedString","One","","","lookup:Currency","","","","","","","","NONE",""
"json_mapping","swapstream1_spreadschedule_initialspread","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_term","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_terminationdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_terminationdate_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_terminationdate_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_terminationdate_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_terminationdate_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream1_varyingnotionalfixingdates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_varyingnotionalfixingdates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_averagingmethod","String","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_calculationperioddates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_calculationperioddates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_calculationperioddates_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_calculationperioddates_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream2_calculationperiodfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_calculationperiodfrequency_rollconvention","EnumeratedString","One","","","lookup:RollConvention","","","","","","","","NONE",""
"json_mapping","swapstream2_calculationperiodstartdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_compoundingmethod","EnumeratedString","One","","","lookup:CompoundingMethod","","","","","","","","NONE",""
"json_mapping","swapstream2_daycountfraction","EnumeratedString","One","","","lookup:DayCountFraction","","","","","","","","NONE",""
"json_mapping","swapstream2_effectivedate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_effectivedate_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_effectivedate_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_effectivedate_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream2_finalstub_currency","EnumeratedString","One","","","lookup:Currency","","","","","","","","NONE",""
"json_mapping","swapstream2_finalstub_fixedrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_finalstub_floattenor1","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_finalstub_floattenor2","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_finalstub_stublength","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_finalstub_stubtype","EnumeratedString","One","","","lookup:StubType","","","","","","","","NONE",""
"json_mapping","swapstream2_firstnotionalstepdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_fixedinitialrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_fixedrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_fixingdate_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_fixingdate_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_fixingdate_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_fixingdate_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream2_fixingdate_daytype","EnumeratedString","One","","","lookup:DayType","","","","","","","","NONE",""
"json_mapping","swapstream2_fixingdate_offsettenor","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_floatingrateindex","EnumeratedString","One","","","lookup:FloatLegIndex","","","","","","","","NONE",""
"json_mapping","swapstream2_floatingraterounding","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_indextenor","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_initialnotionalvalue","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_initialstub_currency","EnumeratedString","One","","","lookup:Currency","","","","","","","","NONE",""
"json_mapping","swapstream2_initialstub_fixedrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_initialstub_floattenor1","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_initialstub_floattenor2","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_initialstub_stublength","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_initialstub_stubtype","EnumeratedString","One","","","lookup:StubType","","","","","","","","NONE",""
"json_mapping","swapstream2_is_oisleg","Boolean","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_isconstantrate","Boolean","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_isconstantspread","Boolean","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_lastnotionalstepdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_legtype","EnumeratedString","One","","","lookup:LegType","","","","","","","","NONE",""
"json_mapping","swapstream2_notionalcurrency","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_notionalstepamount","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_notionalstepfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_payer","String","One","","Leg 2 payer","","","Leg 2 payer","","","","","","NONE",""
"json_mapping","swapstream2_paymentdates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_paymentdates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_paymentdates_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_paymentdates_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream2_paymentdates_daytype","EnumeratedString","One","","","lookup:DayType","","","","","","","","NONE",""
"json_mapping","swapstream2_paymentdates_offsettenor","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_paymentfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_payrelativeto","EnumeratedString","One","","","lookup:PayRelativeTo","","","","","","","","NONE",""
"json_mapping","swapstream2_resetdates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_resetdates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_resetdates_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_resetdates_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream2_resetfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_resetrelativeto","EnumeratedString","One","","","lookup:PayRelativeTo","","","","","","","","NONE",""
"json_mapping","swapstream2_residualterm","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_settlementcurrency","EnumeratedString","One","","","lookup:Currency","","","","","","","","NONE",""
"json_mapping","swapstream2_spreadschedule_initialspread","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_term","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_terminationdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream2_terminationdate_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_terminationdate_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_terminationdate_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_terminationdate_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream2_varyingnotionalfixingdates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream2_varyingnotionalfixingdates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"package","cftcPackage","Boolean","One","","flag to determine if the transaction is part of a package transaction","","","","","","","","","NONE",""
"package","fcaLiquidMarketForPackage","Boolean","One","","Whether there is a liquid market for a package order","","","","MiFIR Package RTS arts. 1-6","","","","","NONE",""
"package","fcaPackage","Boolean","One","","Whether the package meets the definition of a package under MiFIR","","","","MiFIR Article 2(49), Article 2(50)","","","","","NONE",""
"package","fcaPackagePreTradeTransparencyWaivers","EnumeratedString","Many","","Approved pre-trade transparency waivers to be applied to a package order as a whole","lookup:PackagePreTradeTransparencyWaivers","","","MiFIR Article 9(1)(d), Article 9(1)(e)","","","","","NONE",""
"package","liquidMarketForPackage","Boolean","One","","Whether there is a liquid market for a package order","","","","MiFIR Package RTS arts. 1-6","","","","","NONE",""
"package","mifirPackage","Boolean","One","","Whether the package meets the definition of a package under MiFIR","","","","MiFIR Article 2(49), Article 2(50)","","","","","NONE",""
"package","packagePreTradeTransparencyWaivers","EnumeratedString","Many","","Approved pre-trade transparency waivers to be applied to a package order as a whole","lookup:PackagePreTradeTransparencyWaivers","","","MiFIR Article 9(1)(d), Article 9(1)(e)","","","","","NONE",""
"package","packageSeller","EnumeratedString","One","","Identifies the overall seller of a package transaction (Contraparty or Counterparty)","lookup:PartySide","","","MiFIR RTS 2 Article 7(5), Article 7(6)","","","","","NONE",""
"package","packageType","EnumeratedString","One","","Describes the type of package transaction","lookup:ProductStructure","","","MiFIR Article 2(49), Article 2(50)","","","","","NONE",""
"party","BTMUDealStatus","String","One","","BTMU Deal / No Deal Determination","","","","MUFG Custom attribute","","","","","NONE",""
"party","BankInternationalSettlements","Boolean","One","","Bank for International Settlements","","","","","","","","","NONE",""
"party","CTAInPlace","Boolean","One","","CTA In Place","","","CTA In Place","","","","","","FILL_WITH_DEFAULT","TRUE"
"party","EUDomServices","Boolean","One","esma","Party is an authorised investment firm providing investment services and/or performing investment activities in the EU","","","Authorised Investment Firm EU Services","","","","","","NONE",""
"party","GBUSE","String","One","","Branch Name","","","","MUFG Custom attribute","","","","","NONE",""
"party","HomeOfficeNotLocatedCanada","Boolean","One","","Derivative firm head office or principal place of business is not located in Canada","","","","CSA National Instrument 93-101","","","","","NONE",""
"party","InternalReason","String","One","","CSD Reason","","","","MUFG Custom attribute","","","","","NONE",""
"party","MasApprovedTrustee","Boolean","One","mas","N/A","","","MAS Approved Trustee","","","","","","NONE",""
"party","MasBank","Boolean","One","mas","N/A","","","MAS Bank","","","","","","NONE",""
"party","MasBankSubsidiary","Boolean","One","mas","N/A","","","MAS Bank Subsidiary","","","","","","NONE",""
"party","MasCapitalMarketLicensee","Boolean","One","mas","N/A","","","MAS Capital Market Licensee","","","","","","NONE",""
"party","MasFinanceCompany","Boolean","One","mas","N/A","","","MAS Finance Company","","","","","","NONE",""
"party","MasHeadOfficeSG","Boolean","One","mas","N/A","","","MAS Head Office SG","","","","","","NONE",""
"party","MasIncorporatedSG","Boolean","One","mas","N/A","","","MAS Incorporated SG","","","","","","NONE",""
"party","MasInsurer","Boolean","One","mas","N/A","","","MAS Insurer","","","","","","NONE",""
"party","MasMerchantBank","Boolean","One","mas","N/A","","","MAS Merchant Bank","","","","","","NONE",""
"party","MasSignificantDerivativeHolder","Boolean","One","mas","N/A","","","MAS Significant Derivative Holder","","","","","","NONE",""
"party","SingaporeExemptPerson","Boolean","One","mas","1. The Government 2. Any statutory board established under any written law 3. Any central bank in a jurisdiction other than Singapore 4. Any central government in a jurisdiction other than Singapore 5. Any agency (of a central government in a jurisdiction other than Singapore) that is incorporated or established, in a jurisdiction other than Singapore, for non?commercial purposes 6. Any of the following multilateral agencies, organisations or entities: -the African Development Bank -the Asian Development Bank -the Bank for International Settlements -the European Bank for Reconstruction and Development -the European Economic Community -the European Investment Bank -the Inter?American Development Bank -the International Bank for Reconstruction and Development (World?Bank) -the International Finance Corporation -the International Monetary Fund","","","Singapore Exempt Person","","","","","","NONE",""
"party","accountDomicileCountryCode","String","One","emir","The two letter ISO-CC code for the country of domicile. Drives the ""established in EU"" criterion for EMIR workflows.","","","Domicile Country","","","","","","NONE",""
"party","accountID","String","One","NONE","Unique Party identifier used for search and display","","","Counterparty ID","","","","","","NONE",""
"party","accountName","String","One","NONE","Party Name used for search and  display","","","Counterparty Name","","","","","","NONE",""
"party","aifManager","Boolean","One","esma","AIF Manager","","","AIF Manager","AIF Directive art. 4(1)(b)","","","","","FILL_WITH_DEFAULT","FALSE"
"party","alwaysCoveredBondExecution","Boolean","One","emir","The client represents they are always entering derivative transactions to hedge European covered bond issuance.","","","Always Hedging Covered Bond Issuance","","","","","","FILL_WITH_DEFAULT","FALSE"
"party","alwaysFileEUEForClient","Boolean","One","","Skip Standing Opt Out Annual Filing","","","Skip Standing Opt Out Annual Filing","","","","","","FILL_WITH_DEFAULT","FALSE"
"party","amfDeemedDealer","Boolean","One","","For purpose of the Quebec reporting requirements only, party represents itself as a ""deemed dealer"" to report as if it were a registered dealer under AMF","","","AMF deemed dealer","","","","","","FILL_WITH_DEFAULT","FALSE"
"party","amfDerivativesDealer","Boolean","One","amf","Whether an entity is a registered as a dealer under the Derivatives Act (chapter I.14.01)","","","Quebec derivatives dealer","Regulation 91-507 respecting trade repositories and derivatives data reporting (2013), par.1","","","","","FILL_WITH_DEFAULT","FALSE"
"party","amfSpecialEntity","Boolean","One","amf","Whether an entity is one of the excluded entities from the application of this Regulation: (a) the Gouvernement du Quebec; (b) a body referred to in paragraph 2 of section 77 of the Financial Administration Act (chapter A-6.001); (c) a municipality, a metropolitan community, a school board or the Comite de gestion de la taxe scolaire de l'ile de Montreal; (d) a transit authority established under an Act of Quebec; (e) a public institution or regional council within the meaning of the Act respecting health services and social services for Cree Native persons (chapter S-5), a public institution or a health and social services agency referred to in the Act respecting health services and social services (chapter S-4.2), or the Corporation d'hebergement du Quebec; (f) a Quebec university; (g) a general and vocational college; (h) an inter-municipal management board.","","","Excluded entity under AMF reporting rules","Regulation 91-507 respecting trade repositories and derivatives data reporting (2013), par. 41","","","","","FILL_WITH_DEFAULT","FALSE"
"party","appropriatenessInfo","Boolean","One","","Information to assess appropriateness obtained","","","","MiFID-II art. 25(3), MiFID-II Del. Reg. art. 56(1)","","","","","NONE",""
"party","apraCoveredCounterparty","Boolean","One","","Whether an entity is Covered Counterparty under APRA uncleared margin requirements","","","","APRA CPS 226 9(f)","","","","","NONE",""
"party","apraCoveredEntity","Boolean","One","","APRA Covered Entity (ADI, general insurer, life company, RSE)","","","","APRA CPS 226 Paragraph 3","","","","","NONE",""
"party","apraEligibleForeignCoveredEntity","Boolean","One","","APRA Eligible Foreign Covered Entity","","","","ISDA Regulatory Margin Self-disclosure Letter - Australia Supplement","","","","","NONE",""
"party","apraIMPhaseInDate","DateType","One","","When party is phased in for IM requirement per APRA rules","","","","APRA CPS 226","","","","","NONE",""
"party","apraIMPhaseInStatus","EnumeratedString","One","","Indicates if and when the party is phased in (per APRA AANA calculation for reference period March-May): NotPhasedIn, PhasedIn, DeclinedToAnswer","lookup:IMPhaseInCategory","","","APRA CPS 226","","","","","NONE",""
"party","apraLevel2Group","String","One","","Level 2 Group per APRA APS 001","","","","APRA APS 001","","","","","NONE",""
"party","apraMarginingGroup","String","One","","Group of one or more entities within the meaning of Australian Accounting Standard AASB 10 or equivalent foreign accounting standards","","","","APRA CPS 226 9(n)","","","","","NONE",""
"party","asicAUClearingEntity","Boolean","One","","Whether an entity represents itself as an Australian Clearing Entity in the ISDA ASIC Clearing Classification Letter and meets the criteria as defined by ASIC Clearing","","","","ASIC Derivative Transaction Rules (Clearing) 2015, Section 1.2.4","","","","","NONE",""
"party","asicForeignClearingEntity","Boolean","One","","Whether an entity represents itself as an Foreign Clearing Entity in the ISDA ASIC Clearing Classification Letter and meets the criteria as defined by ASIC Clearing","","","","ASIC Derivative Transaction Rules (Clearing) 2015, Section 1.2.4","","","","","NONE",""
"party","asicForeignCompany","Boolean","One","asic","A foreign company that is required to be registered under Division 2 of Part 5B.2 of the Corporations Act 2001","","","Foreign Company registered under AU Corporations Act 2001","Corporations Act 2001, s761D (Austl.)","","","","","FILL_WITH_DEFAULT","FALSE"
"party","asicForeignIntlActiveDealer","Boolean","One","","Whether an entity is a Foreign Internationally Active Dealer (i.e. Swap Dealer or Securities-Based Swap Dealer) as defined in the ASIC Rules (Clearing), Art. 1.2.1 and Corporations Regulations 2001, section 7.5A.65(4).","","","","ASIC Rules (Clearing), Art. 1.2.1, Corporations Regulations 2001 - REG 7.5A.65(4)","","","","","NONE",""
"party","asicReportingDelegate","String","One","asic","LEI for the delegate appointed by the Reporting Entity to report on behalf of the Reporting Entity in accordance with Rules 2.2.1 to 2.2.5 and 2.2.8","","","ASIC reporting delegate LEI","ASIC Derivative Transaction Rules (Reporting) 2013, Rule 2.2.7 (Austl.)","","","","","FILL_WITH_DEFAULT","N/A"
"party","ateDocumenation","Boolean","One","","ateDocumentation","","","","","","","","","NONE",""
"party","ateDocumentation","Boolean","One","","ATE Documentation","","","","","","","","","NONE",""
"party","auADI","Boolean","One","","Australian Authorized Deposit-taking Institution","","","","ASIC Derivative Transaction Rules (Reporting) 2013","","","","","NONE",""
"party","auAFS","Boolean","One","","Australian AFS Licensee","","","","ASIC Derivative Transaction Rules (Reporting) 2013","","","","","NONE",""
"party","auCSFacilityLicensee","Boolean","One","","Australian CS Facility Licensee","","","","ASIC Derivative Transaction Rules (Reporting) 2013","","","","","NONE",""
"party","auForeignIntlActiveDealer","Boolean","One","asic","The party is a ��_��_��_foreign internationally active dealer��_� as defined in the ASIC Rules (Clearing), Art. 1.2.1 and Corporations Regulations 2001, section 7.5A.65.","","","Foreign Int'l Active Dealer","ASIC Rules (Clearing), Art. 1.2.1 and Corporations Regulations 2001, section 7.5A.65","","","","","NONE",""
"party","auGrossNotionalOutstandingInAUD","BigDecimal","One","","Gross notional outstanding position in AUD for ASIC reporting entities","","","","ASIC Derivative Transaction Rules (Reporting) 2013","","","","","NONE",""
"party","auGrossNotionalOutstandingPositionPersonal","Integer","One","asic","The party��_�s ��_��_��_gross notional outstanding position,��_� expressed in AUD, when acting in their personal capacity, as defined in the ASIC Rules (Clearing), Art. 1.2.6.","","","ASIC Gross Notional Outstanding Position (Personal)","ASIC Rules (Clearing), Art. 1.2.6","","","","","NONE",""
"party","auGrossNotionalOutstandingPositionRepresentative","Integer","One","asic","The party��_�s ��_��_��_gross notional outstanding position,��_� expressed in AUD, when acting in a representative capacity, as defined in the ASIC Rules (Clearing), Art. 1.2.6.","","","ASIC Gross Notional Outstanding Position (Representative)","ASIC Rules (Clearing), Art. 1.2.6","","","","","NONE",""
"party","auNexusOptIn","Boolean","One","","Whether an entity has provided Opt-in Notice and has not withdrawn that notice to use the alternative test for establishing AU nexus (Nexus Derivative Transaction or Nexus Derivative Position)","","","Has active Nexus Opt-in Notice for the Opt-in Class","Australian Securities and Investments Commission Corporations Act?Paragraph 907D(2)(a)? Class Exemption","","","","","FILL_WITH_DEFAULT","FALSE"
"party","auReportingCounterpartyRepresentation","EnumeratedString","One","asic","If two parties have made representations to each other, such that one party is the Reporting Entity and the other party is the Exempt Entity electing single-sided exemption, then this attribute must be used to specify which side is the Reporting Entity","lookup:PartyRoleType","","Reporting Counterparty Representation","Corporations Amendment (Central Clearing and Single-Sided Reporting) Regulation 2015, 7.5A.72","","","","","FILL_WITH_DEFAULT","Contraparty"
"party","austrailianFinServicesLicense","Boolean","One","asic","Whether a person holds an Australian financial services licence within the meaning of section 761A of the Corporations Act 2001.","","","Australia Financial Services Licensee (AFS)","ASIC Derivative Transaction Rules (Reporting) 2013, Rule 1.2.3 (Austl.)","","","","","FILL_WITH_DEFAULT","FALSE"
