namespace,name,type,cardinality,description,validation,source
party,bisLookThroughOptionAvailable,Boolean,One,The ��_��__��_��__��_��__look through��_��__��_ option is available to the (contra)party.,,BIS Reg Cap
party,bisReasonedOpinionExists,Boolean,One,"Under Basel III, the (contra)party has received a reasoned opinion from counsel determining that ��_��__��_��__��_��__look through��_��__��_ is justified.  Industry opinions need to be on file which verify the following: (1) Upon aclearing member��_��__��_s insolvency (e.g. a trigger event), initial margin is not available to clearing member��_��__��_s other creditors; (2) CCP has the ability to segregate positions and initial margin on an omnibus or individually segregated basis; (3) CCP supports portability (i.e. positions and initial margin are capable of being transferred to a back-up clearing member); (4) CCP��_��__��_s portability is enforceable; and (5) client clearing agreement is enforceable.",,BIS Reg Cap
party,branch,Boolean,One,Party is a branch,,
party,bunchedOrder,Boolean,One,Is this a bunched order identifier? If instead it is a subaccount the answer is False.,,
party,caAboveAffiliateThreshold,Boolean,One,Whether an affiliate of a participant of a Regulated Clearing Agency is above the gross notional threshold as defined in Rule 94-101 Part 2 Section 3(1)(b)(ii) and meets the clearing specifications in Section 3(2),,Rule 94-101 Part 2 Section 3.(1)(b)(ii) & (2)
party,caAboveLCThreshold,Boolean,One,Whether a Local Counterparty's combined gross notional is above the threshold as defined in Rule 94-101 Part 2 Section 3(1)(c)(ii) and meets the clearing specifications in Section 3(2),,Rule 94-101 Part 2 Section 3(1)(c)(ii) & (2)
party,caAffiliatedPersonLocalities,EnumeratedString,Many,"List of Canadian provincial abbreviation codes that corresponds to the provinces checked under ISDA Canadian representation letter question II(B), i.e. provinces where an entity is an affiliate of a local counterparty.",lookup:CanadianPostalAbbreviations,ISDA Canadian Representation Letter #1 for Trade Reporting and Other Obligations.
party,caClearingCategory1,Boolean,One,Whether an entity is a participant of a regulated clearing agency under Rule 94-101,,CSA Rule 94-101 Part 6 Section 13
party,caClearingExemptSpecialEntity,Boolean,One,Whether party meets the criteria expressed in Part 3 Section 6 of Rule 94-101,,CSA Rule 94-101 Part 3 Section 6
party,caClearingIntragroupAgreement,Boolean,One,Whether affiliated entities to a mandatory clearable derivative agree to rely on Intragroup exemption,,94-101 Part 3 Section 7.(1)(b)
party,caCoveredEntity,Boolean,One,Party is a financial entity in a consolidated group with AANA for March-May 2016 and any year after exceeding CAD 12 billion,,
party,caDeemedDealerLocalities,EnumeratedString,Many,"List of provincial codes checked for ISDA Canadian representation letter question IV, i.e. the list of provinces where an entity is a deemed  dealer.",lookup:CanadianPostalAbbreviations,ISDA Canadian Representation Letter #1 for Trade Reporting and Other Obligations.
party,caFinancialInstitution,Boolean,One,Whether an entity is a Canadian Financial Institution,,"Capital Tax Act (1997), s.58."
party,caIMPhaseInCategory,EnumeratedString,One,"Indicates when the party is phased in (per CA AANA calculation for reference period March-May): NotPhasedIn, 2016, 2017, 2018, 2019, 2020, After2020",lookup:IMPhaseInCategoryType,
party,caMarginExemptAffiliate,Boolean,One,Canadian Margin-Exempt Affiliate,,
party,caPersonLocalities,EnumeratedString,Many,"List of location codes checked for question I(A) in the ISDA Canadian Representation Letter, i.e. jurisdiction of organization, or head office, or principal place of business.",lookup:CanadianPostalAbbreviations,ISDA Canadian Representation Letter #1 for Trade Reporting and Other Obligations.
party,caRegisteredDealerLocalities,EnumeratedString,Many,"List of provincial codes checked for ISDA Canadian representation letter question I.2(B), i.e. the list of provinces where an entity is registered as a dealer.",lookup:CanadianPostalAbbreviations,ISDA Canadian Representation Letter #1 for Trade Reporting and Other Obligations.
party,caReportingDelegate,String,One,LEI or other Identification for the party to whom a party has delegated its trade reporting obligation under Canadian reporting rules,,"Regulation 91-507 respecting trade repositories and derivatives data reporting (2013), par.26(3)."
party,caSpecialEntity,Boolean,One,"Whether an entity is one of the excluded entities from the application of this Regulation in Part 5 Section 41 of OSC, AMF and MSC",,
party,cacibISRClassification,EnumeratedString,One,Party Internal Suitability Rating (ISR) classification,,
party,cdeaDocumentation,Boolean,One,Did the client sign FIA/ISDA CDEA documentation to cover cleared OTC transactions?,,
party,cftcClearingAffiliateExemptionElection,Boolean,One,Whether a party elects the Affiliate Exemption per 17 CFR Part 50.52(b)(1),,17 CFR Part 50.52(b)(1)
party,cftcEndUserMeetsFinancialObligations,Boolean,One,CFTC end user meets its financial obligations through the election of one or more of the following five criteria: a. Written credit support agreement  b. Pledged or segregated assets  c. Written third-party guarantee  d. Available financial resources  e. Mean other than those described in the foregoing subsection A - D,,
party,cftcFinalUSPerson,Boolean,One,U.S. Person definition according to CFTC Interpretive Guidance on Cross-Border Application of Swap Provisions,,"Final Guidance, 78 Fed. Reg. 45369 (Jul. 26, 2013)."
party,cftcMajorJurisdiction,Boolean,One,"Is the party domiciled in any of the following jurisdictions: Australia, Canada, the European Union, Hong Kong, Japan, Switzerland. Note that there is some logic involved in deriving this field that may draw on the domicile / principal place of business fields.",,"Final Guidance, 78 Fed. Reg. 45369 (Jul. 26, 2013)."
party,cftcSdrDelegate,String,One,CFTC Swap Data Reporting delegate party LEI,,17 C.F.R. s 45.9
party,cftcSegregatedMargin,String,One,"This field tracks registration of clients for Segregated Margin. This applies as follows: - Blank: CFTC Collateral Segregation rules do not apply - SPN: CFTC Collateral Segregation rules do not apply; ""Trading suspended: CFTC Segregation Election not received? - RCY: CFTC Collateral Segregation is required, trading is allowed, independent amount should be taken with trade; "" ?Can ask for Independent amount (IA /IM) Collateral Segregation is required? - RCN: CFTC Collateral Segregation is NOT required, trading is allowed, independent amount should be taken with trade, ?Can ask for Independent amount (IA /IM) Collateral Segregation is NOT required?",,
party,cftcSwapEntity,Boolean,One,"CFTC swap entity includes Swap Dealer and Major Swap Participant. Whether party has represented itself as a CFTC Swap entity by answering ""yes"" to the ISDA March DF Protocol questionnaire 2 ""CFTC Swap Entity""",,
party,clearingImplementationCategory,String,One,"Reasonably complicated logic that drives this, but ultimately it comes down to the following:     if (CFTC Swap Entity) or (Active Fund) then CATEGORY1 else if Category 2 Entity then CATEGORY2 else CATEGORY3 Field takes the following enumerated values: - CATEGORY1 - CATEGORY2 - CATEGORY3 - UNKNOWN - NOT_APPLICABLE",,
party,clearingMemberVsClient,EnumeratedString,Many,Indicates whether the (contra)party is acting as clearing member or client.,lookup:clearingMemberVsClientEnum,BIS Reg Cap
party,clientClearedAddendumInPlace,Boolean,One,There is an ISDA/FIA Client Cleared Derivatives Addendum in place between the (contra)party and its client.  The Addendum should specify that the client agrees that the clearing member��_��__��_s performance and payment obligations to the client under the client transactions (including under the collateral arrangements) are limited by and contingent on the actual performance or payment by the relevant CCP to the clearing member under the related CM/CCP Transactions.  This provision is specified in Section 15 of the ISDA-standard Addendum. Particular care should be taken this provision has not been changed.,,BIS Reg Cap
party,clientClearingRelationshipWithCM,Boolean,One,The (contra)party has a client clearing relationship with a clearing member.,,BIS Reg Cap
party,clientType,EnumeratedString,One,Client Type,lookup:MiFID-II-ClientType,"MiFID-II arts. 4(10)-(11), 30, Annex II"
party,cnbvCreditInstitution,Boolean,One,"The party is a ��_��__��_��__��_��__Credit Institution��_��__��_ as defined in Bank of Mexico Circular 4/2012, sec. 1.1.",,"Bank of Mexico Circular 4/2012, sec. 1.1"
party,cnbvGeneralDepositWarehouse,Boolean,One,"The party is a ��_��__��_��__��_��__General Deposit Warehouse��_��__��_ as defined in Bank of Mexico Circular 4/2012, sec. 1.1.",,"Bank of Mexico Circular 4/2012, sec. 1.1"
party,cnbvInvestmentFund,Boolean,One,"The party is an ��_��__��_��__��_��__Investment Fund��_��__��_ as defined in Bank of Mexico Circular 4/2012, sec. 1.1.",,"Bank of Mexico Circular 4/2012, sec. 1.1"
party,cnbvRuralFinancialInstitution,Boolean,One,"The party is a ��_��__��_��__��_��__Rural Financial Institution��_��__��_ as defined in Bank of Mexico Circular 4/2012, sec. 1.1.",,"Bank of Mexico Circular 4/2012, sec. 1.1"
party,cnbvSecuritiesFirm,Boolean,One,"The party is a ��_��__��_��__��_��__Securities Firm��_��__��_ as defined in Bank of Mexico Circular 4/2012, sec. 1.1.",,"Bank of Mexico Circular 4/2012, sec. 1.1"
party,cnbvSofome,Boolean,One,"The party is a ��_��__��_��__��_��__Sofome��_��__��_ as defined in Bank of Mexico Circular 4/2012, sec. 1.1.",,"Bank of Mexico Circular 4/2012, sec. 1.1"
party,commoditiesCommercialIntent,Boolean,One,"For a Non-Financial Counterparty End User  transacting commodities, whether party has established blanket commercial intent via a representation.",,
party,conduitAffiliateUSPerson,Boolean,One,Is the party a Conduit Affiliate of a US Person per CFTC rules?,,"Final Guidance, 78 Fed. Reg. 45369 (Jul. 26, 2013)."
party,countryOfNationality,EnumeratedString,One,ISO 3166-1 Alpha-2 code of country of organization of a legal entity,lookup:CountryCode,
party,countryOfResidence,EnumeratedString,One,ISO 3166-1 Alpha-2 code of country of residence/operation of a legal entity,lookup:CountryCode,
party,creditline,Boolean,One,Does the client have a valid credit line?,,
party,csaList,Object droit.party:csa,Many,CSA List,,
party,dealingRestrictionStatus,EnumeratedString,One,"Whether the party is subject to a ""Do Not Deal"" or a ""Restricted Dealing""",lookup:DealingRestrictionStatus,
party,defaultNettingSet,String,One,Default Netting Set,,
party,designatedFiduciary,Boolean,One,Yes if there is at least one Designated Fiduciary specified (required for ERISA SE's).,,
party,designatedQIR,Boolean,One,"Yes if there is at least one Designated QIR specified, this is required in the case of non-ERISA Special Entities.",,
party,disclosureAcknoledgementClearing,Boolean,One,Tracking to ensure appropriate Clearing disclosures have been distributed and acknowledged by the counterparty.,,
party,disclosureAcknoledgementDailyMarks,Boolean,One,Tracking to ensure appropriate Daily Marks disclosures have been distributed and acknowledged by the counterparty.,,
party,disclosureAcknoledgementScenarioAnalysis,Boolean,One,Tracking to ensure appropriate Scenario Analysis disclosures have been distributed and acknowledged by the counterparty.,,
party,disclosureAcknoledgementSpecialEntity,Boolean,One,Tracking to ensure appropriate Special Entity disclosures have been distributed and acknowledged by the counterparty.,,
party,disclosureDistribution,Boolean,One,"Were disclosures sent to client, either electronically or by voice?",,
party,eligibleAffiliateInternalParty,Boolean,One,Indicates whether the counterparty is internal to the client AND an eligible affiliate for the purpose of utilizing the CFTC affiliate clearing exemption.,,17 C.F.R. Part 50.52
party,eligibleContractParticipant,Boolean,One,Is the counterparty an Eligible Contract Participant under CFTC rules? Required for all customers.,,
party,eligibleTreasuryAffiliate,Boolean,One,CFTC Letter 13-22 provides a clearing exemption for eligible treasury affiliates that meet certain criteria.,,
party,emirArticle1_4_entity,Boolean,One,Whether party is a wholly exempt EMIR entity as described in EMIR Article 1(4),,Regulation (EU) No 648/2012 (EMIR) art. 1(4)
party,emirArticle1_4b_entity,Boolean,One,"The Bank for International Settlements, i.e. ""EMIR Article 1(4)(b) Entity"" in the ISDA EMIR Classification Letter",,"Regulation (EU) No 648/2012, Art. 1(4)(b)"
party,emirArticle1_5_entity,Boolean,One,"Whether a party is an entity as described by EMIR Article 1(5), i.e. multilateral development banks, public sectors owned or guaranteed by central governments, the European Financial Stability Facility and the European Stability Mechanism.",,Regulation (EU) No 648/2012 (EMIR) art. 1(5)
party,emirCCP,Boolean,One,A central clearing party as defined in Article 2(1) of EMIR,,"Regulation (EU) No 648/2012 of the European Parliament and of the Council of 4 July 2012 on OTC Derivatives, Central Counterparties and Trade Repositories Text with EEA relevance, Jul. 27, 2012 O.J."
party,emirClearingCategoryUndefined,Boolean,One,boolean value for when an emir category is undefined,,
party,emirFrontLoadingAgreement,Boolean,One,"This attribute indicates if counterparty has signed a Frontloading agreement. Currently, only used by RBC.",,
party,emirNonUndertaking,Boolean,One,"For the purpose of EMIR, whether an entity is a non-undertaking as indicated on Question 2(b) of the ISDA EMIR Classification Letter",,
party,emirTCEclassification,EnumeratedString,One,"For the purposes of EMIR, Third Country Entities (TCE) must indicate its categorisation that it would be if the Named Entity were established in the EU by specifying whether the entity is a TCE FC, TCE NFC+ or TCE NFC-.",lookup:emirTCEclassification,
party,endUser,String,One,"Takes one of the following values: {NO, Non-Financial (Commercial) End User, Financial End User}. Non-Financial end users are not CFTC Swap Entities and are also not Financial Entities.",,
party,energyOperator,Boolean,One,"Whether a party is an operator or administrator of an energy transmission grid, energy balancing mechanism or pipeline network",,"Commission Regulation (EC) No 1287/2006 of 10 August 2006 implementing Directive 2004/39/EC of the European Parliament and of the Council as regards record-keeping obligations for investment firms, transaction reporting, market transparency, admission of financial instruments to trading, and defined terms for the purposes of that Directive, Sep.2, 2006 O.J."
party,erisaSpecialEntity,Boolean,One,Employee benefit plan subject to Title I of ERISA,,
party,erisaSpecialEntitySafeHarborOption1,Boolean,One,Does the ERISA SE agree to incorporate safe harbor provisions according to schedule 5 (Option 1)?,,
party,erisaSpecialEntitySafeHarborOption2,Boolean,One,Does the ERISA SE agree to incorporate safe harbor provisions according to schedule 6 (Option 2)?,,
party,esmaClearingCategory,EnumeratedString,One,"Allowed values are {CATEGORY1, CATEGORY2, CATEGORY3, CATEGORY4, NotApplicable}. This is the appropriate EMIR clearing category for the first wave of mandated Rates products used to drive clearing mandate dates. For TCE's, it is the EMIR clearing category they would have if they were equivalent entities established in the EEA.",lookup:emirClearingCategory,
party,esmaClearingCategoryCredit1,EnumeratedString,One,"Allowed values are {CATEGORY1, CATEGORY2, CATEGORY3, CATEGORY4, NotApplicable}. This is the appropriate EMIR clearing category for the first wave of mandated Credit products used to drive clearing mandate dates. For TCE's, it is the EMIR clearing category they would have if they were equivalent entities established in the EEA.",lookup:emirClearingCategory,
party,esmaClearingCategoryRates2,EnumeratedString,One,"Allowed values are {CATEGORY1, CATEGORY2, CATEGORY3, CATEGORY4, NotApplicable}. This is the appropriate EMIR clearing category for the second wave of mandated Rates products used to drive clearing mandate dates. For TCE's, it is the EMIR clearing category they would have if they were equivalent entities established in the EEA.",lookup:emirClearingCategory,
party,establishedIn,EnumeratedString,Many,"Two-letter codes for countries, provinces, regions, etc, under the laws of which an entity is established, using the ISO-3166 standards. This attribute can take on a single string value, such as ""AU"" for a party established under the laws of Australia. Or when multiple levels of regulations are relevant, this attribute can be populated with an array of string codes to signify different levels of granularity. For example, when a party is established in Canada, the specific provincial codes are also necessary, e.g. [""CA"",""ON""] for Ontario. An example for a party established in one of the European Union member states can be [""BE"",""EU""]",lookup:LocationCode,
party,euAffiliateStatus,EnumeratedString,One,EU Affiliate Status,lookup:EUAffiliateStatusType,
party,euCentralBank,Boolean,One,"EMIR 1(4)(a) explicitly carves out for all regulatory purposes: ""the members of the ESCB and other Member States? bodies performing similar functions"". Part (b) also carves out the Bank of International Settlements, which is assumed to have this flag set to true.  A reasonable list of these can be found at: http://www.ecb.europa.eu/stats/money/mfi/general/html/mfis_list_2013-05.en.html",,Regulation (EU) No 648/2012 (EMIR) art. 1(4)
party,euCentralBankOrPublicDebtManager,Boolean,One,"Any members of the European System of Central Banks or other Member States�۪ bodies performing similar functions or other European Union public bodies charged with or intervening in the management of the public debt, i.e. ""EMIR Article 1(4)(a) Entity"" in the ISDA EMIR classification letter.",,"Regulation (EU) No 648/2012, Art.1(4)(a)"
party,euExemptedForeignCentralBank,Boolean,One,"Central banks and public debt management bodies in Japan, the U.S.A, Australia, Canada, Hong Kong, Mexico, Singapore, Switzerland",,Commision Delegated Regulation (EU) 2017/979 of 2 March 2017 amending Regulation (EU) No 648/2012 amending Regulation (EU) No 648/2012
party,euExemptedPensionScheme,Boolean,One,"Explicitly exempted from EMIR Clearing until such time as schemes for non-cash variation margin are effected. In practice, they have a time-limited exemption which is likely to be extended.",,
party,euExemptedPublicSectorEntity,Boolean,One,"EMIR 1(5)(b) and {c} exempt these entities for all regulatory purposes EXCEPT reporting: ""(b) public sector entities within the meaning of point (18) of Article 4 of Directive 2006/48/EC where they are owned by central governments and have explicit guarantee arrangements provided by central governments; (c) the European Financial Stability Facility and the European Stability Mechanism""",,
party,euIMPhaseInCategory,EnumeratedString,One,"Indicates if and when the party is phased in (per ESAs AANA calculation for reference period March-May): NotPhasedIn, 2016, 2017, 2018, 2019, 2020, After2020",lookup:IMPhaseInCategoryType,
party,euMultilateralDevelopmentBank,Boolean,One,"EMIR 1(5)(a) exempts these entities for all regulatory purposes EXCEPT reporting: ""as listed under Section 4.2  of Part 1 of Annex VI to Directive 2006/48/EC""",,
party,euPublicDebtManager,Boolean,One,Member States? bodies performing similar functions and other Union public bodies charged with or intervening in the management of the public debt.,,Regulation (EU) No 648/2012 (EMIR) art. 1(4)
party,exemptCooperative,Boolean,One,CFTC Letter 13-47 provides a permanent clearing exemption for certain forms of cooperative.,,17 C.F.R. Part 50.51
party,exemptCooperativeElection,Boolean,One,Whether a party elects the Exempt Cooperative exemption per 17 CFR 50.51,,17 CFR 50.51(c)
party,exemptForeignLicense,Boolean,One,"A person: (a) whose activities, relating to Derivatives, are regulated by an overseas regulatory authority; (b) who provides a financial service, relating to Derivatives, only to wholesale clients as defined in section 761G of the Act; and (c) who is exempt from the requirement to hold an AFS Licence for the financial service referred to in paragraph (b).",,"ASIC Derivative Transaction Rules (Reporting) 2013, Rule 1.2.3 (Austl.)"
party,exemptIntragroupAffiliate,Boolean,One,"A valid intragroup affiliate that has been approved for exemption from the clearing mandate, which must meet three tests according to article (3) of EMIR: - It must be part of the same consolidated financial entity for accounting purposes (generally international standards and US GAAP are both acceptable) - It must have meaningful single supervisory control (risk management, consolidated management team, etc.) - You must ask your local regulator and receive approval for the exemption, which has to be 30 days preceding use of the exemption and after the clearing RTS takes effect.",,
party,fiboTypeI,Boolean,One,Whether an entity is a Financial Instruments Business Operator that conducts Type I Financial Instruments Business as defined in the Financial Instruments and Exchange Act Article 28.,,"Financial Instruments and Exchange Act, 1948, art. 2, 28."
party,fieaCentralBank,Boolean,One,,,
party,fieaGovernment,Boolean,One,Entity is the national government or a local government of Japan,,"Cabinet Office Ordinance No.48 on the Regulation of Over-the-Counter Transactions of Derivatives, Jul. 11, 2012, art. 6(2)"
party,fieaInternalPartyAffiliate,Boolean,One,Whether the counterparty an entity is facing is its parent company or is its subsidiary.,,"Cabinet Office Ordinance No.48 on the Regulation of Over-the-Counter Transactions of Derivatives, Jul. 11, 2012, art. 6(2)"
party,financialCounterparty,Boolean,One,"Whether an entity is an investment firm auth? orised in accordance with Directive 2004/39/EC, a credit institution authorised in accordance with Directive 2006/48/EC, an insurance undertaking authorised in accordance with Directive 73/239/EEC, an assurance undertaking authorised in accordance with Directive 2002/83/EC, a reinsurance undertaking authorised in accordance with Directive 2005/68/EC, a UCITS and, where relevant, its management company, authorised in accordance with Directive 2009/65/EC, an institution for occupational retirement provision within the meaning of Article 6(a) of Directive 2003/41/EC and an alternative investment fund managed by AIFMs authorised or registered in accordance with Directive 2011/61/EU;",,"Regulation (EU) No 648/2012 of the European Parliament and of the Council of 4 July 2012 on OTC Derivatives, Central Counterparties and Trade Repositories Text with EEA relevance, Jul. 27, 2012 O.J."
party,financialEntity,Boolean,One,Whether an entity is a financial entity as defined in CEA section 2(h)(7)(C),,CEA section 2(h)(7)(C)
party,financialInstruBusinessOperation2,Boolean,One,"This field represents ""Type 2"" FIBO.",,
party,financialInstrumentBusinessOperation,Boolean,One,"A stock company that engages in 1) the sale / solicitation of securities of high liquidity such as stocks, corp bonds (dealing, brokerage, selling, private placement, clearing, derivatives transactions, agency service); 2) OTC derivatives; 3) securities underwriting; 4) prop trading system (PTS); 5) securities management. This field represents ""Type 1"" FIBO.",,
party,finmaFC,Boolean,One,"Financial Counterparty as defined in FMIA Art.93 para. 2, which includes a. banks in accordance with Article 1 paragraph 1 of the Banking Act of 8 November 1934; b. securities dealers in accordance with Article 2 letter d of the Stock Exchange Act of 24 March 1995; c. insurance and reinsurance companies in accordance with Article 2 paragraph 1 letter a of the Federal Act of 17 December 200419 on the Supervision of Insurance Companies; d. parent companies of a financial or insurance group or financial or insurance conglomerate; e. fund management companies and asset managers of collective investment schemes in accordance with Article 13 paragraph 2 letters a and f of the Collective Investment Schemes Act of 23 June 2006; f. collective investment schemes in accordance with the Collective Investment Schemes Act; g. occupational pension schemes and investment foundations in accordance with Articles 48 to 53k of the Federal Act of 25 June 1982 on Occupational Old Age, Survivors' and Invalidity Pension Provision",,FMIA Art. 93 para.2
party,finmaIntentToReport,Boolean,One,"Whether an entity intends to perform reporting obligation per Swiss FMIA Art 104 para.2. This is to specifically identify the scenario where a party does not report, per 2(c)",,
party,finmaMDB,Boolean,One,Recognized Multilateral Development Banks according to Article 53 of Capital Adequacy Ordinance of 2006,,"Swiss Federal Banking Commission Circular: Capital Adequacy for Credit Risks (Credit risks) of 29 September 2006, Appendix I"
party,finmaNFC,Boolean,One,"FINMA-recognized Non-financial Counterparty, which are companies that are not financial counterparties, per FMIA Art.93 para.3",,FMIA Art.93 para.3
party,finmaReportingCCP,Boolean,One,Whether a clearing agency represents itself to be submitting reports to FINMA,,
party,finmaSmallPosition,Boolean,One,"Small financial counterparty per FMIA Art.98 and 99, i.e. if the rolling average for its gross position in all outstanding OTC derivatives transactions calculated over 30 working days is below the threshold.",,"Swiss FMIA Art.98, 99"
party,foreignADI,Boolean,One,A foreign Authorized Deposit-taking Institution in Australia,,"ASIC Derivative Transaction Rules (Reporting) 2013, Rule 1.2.5 (Austl.)"
party,foreignBranchUSPerson,Boolean,One,The foreign branch of a US Person entity. See full definition in CFTC cross-border guidance.,,"Final Guidance, 78 Fed. Reg. 45369 (Jul. 26, 2013)."
party,foreignCentralBank,Boolean,One,"Is the party a Foreign Central Bank for the purpose of exemptions granted by the CFTC? This must be determined by the internal classification rules of the dealer, but should be fairly straightforward.",,
party,foreignGovernment,Boolean,One,Is the party a Foreign Government for the purpose of exemptions by the CFTC? This must be determined by the internal classification rules of the dealer.,,
party,foreignSubsidiaryOfAuADIorAFS,Boolean,One,A foreign subsidiary of an Australian Entity where that Australian Entity is an Australian ADI or AFS Licensee.,,
party,futureExpiryDate,DateType,One,Expiry date of a futures contract,,
